danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.664,0.5,-0.036259508562331295,0.0651,0.799,0.0,0.0966,0.801,-0.09462074781357174,-0.29003424920233867
0.429,0.453,-0.3640526313857216,0.0459,0.554,2e-06,0.102,0.155,-1.6217759726956549,0.43594590552190104
0.558,0.559,-0.9606280312467861,0.0959,0.371,7.49e-06,0.109,0.62,-1.5869135723263612,-0.3217611796413565
0.852,0.697,0.5356606749088115,0.0439,0.0973,0.00037,0.0678,0.919,0.6691275727903224,-0.7302454090437108
0.525,0.488,-0.025750727805971155,0.038,0.191,5.14e-05,0.135,0.253,-1.3425732885629045,-0.08651246531980247
0.612,0.807,1.6309989768217419,0.0336,0.0495,0.0177,0.101,0.398,0.138945954116502,0.6496818185406721
0.758,0.759,0.6185183693339591,0.0479,0.329,3.96e-06,0.144,0.732,0.2132609076784665,-0.24279997215078053
0.369,0.192,-2.1444826018382894,0.04,0.555,8.35e-06,0.0954,0.148,2.079670154870221,0.44917085560796105
0.482,0.757,0.9131684143872899,0.0355,0.0137,0.0016,0.143,0.12,0.8417324930082596,-1.8336950999452242
0.633,0.725,1.0461449093427715,0.0427,0.0461,0.0,0.205,0.64,0.3836655893529654,0.3711323190536218
0.74,0.643,0.5655702816769136,0.0413,0.041,0.00229,0.0407,0.96,-0.12766226111243373,0.8281296150507397
0.569,0.882,1.6443370447048145,0.06,0.0316,0.0,0.142,0.201,1.048820462122483,-0.13861909240306694
0.487,0.658,-1.264170121555499,0.0296,0.00877,0.00777,0.1,0.282,0.826596369235302,0.17296850148502177
0.621,0.779,1.2401531694601906,0.0361,0.216,8.62e-06,0.165,0.399,1.9592260621906725,-0.3017861632323014
0.657,0.82,0.9689457891710479,0.0441,0.0176,0.0,0.0847,0.709,0.13849073234889425,-0.12210813880725155
0.669,0.561,0.12420148990978412,0.0411,0.495,0.00962,0.0954,0.841,1.125866746290093,-0.49478626099985723
0.432,0.583,0.874366762363806,0.0687,0.174,0.0,0.0933,0.544,2.317789074476373,-0.6221310374099354
0.915,0.453,0.9119558627615559,0.27,0.0872,0.000163,0.104,0.287,0.7417354447237584,-0.9107651683579592
0.561,0.604,0.9847089603055885,0.0337,0.199,1.9e-05,0.104,0.242,1.4995658823487512,0.16874363982962196
0.545,0.545,-0.2088460232917859,0.107,0.667,5.48e-05,0.417,0.549,1.5003245852947644,-0.25492419199711946
0.776,0.667,0.09025004438923587,0.0983,0.0146,0.3,0.0761,0.618,0.36526704291215295,-0.891032960090019
0.722,0.74,-0.15145191300704916,0.063,0.68,3.27e-05,0.176,0.893,0.4681471623915029,-1.127430966279517
0.68,0.246,-2.937087181192997,0.058,0.783,0.0,0.106,0.388,-0.38543158702031943,-0.4624927782315712
0.566,0.366,-2.4100314078740075,0.028,0.113,0.181,0.155,0.237,0.3630288692214149,-0.2607839618026932
0.492,0.519,-0.01645449867534493,0.0288,0.227,8.47e-05,0.0693,0.435,-1.4992833820618707,0.5352868096567237
0.492,0.673,0.5716330398055828,0.0347,0.413,0.0,0.137,0.488,3.1646153676686812,-0.5893681255688271
0.486,0.702,0.43946491260059084,0.0298,0.239,7.54e-05,0.0912,0.382,-1.4922653798112513,-0.035538942895074366
